AIRPORTS,DATE,TIME,FLIGHT,ORIGIN,AIRCRAFT,AIRLINE/OPERATOR,STATUS,DURATION
Kuching International Airport ( KCH / WBGG ),2021 Jul 25,14:55ÿMYT,MH3416,Mukahÿ(MKM/WBGK),DHC6,Malaysia Airlines,EST. DEPART IN 7h 9m,01h05m
Kuching International Airport ( KCH / WBGG ),2021 Jul 25,13:10ÿMYT,AK5206,Kuala Lumpurÿ(KUL/WMKK),-,AirAsia,EST. DEPART IN 4h 44m,01h45m
Kuching International Airport ( KCH / WBGG ),2021 Jul 25,12:35ÿMYT,AK6465,Sibuÿ(SBW/WBGS),-,AirAsia,EST. DEPART IN 5h 14m,00h40m
Kuching International Airport ( KCH / WBGG ),2021 Jul 25,11:35ÿMYT,MH3712,Tanjung Manisÿ(TGC/WBGT),DHC6,Malaysia Airlines,EST. DEPART IN 4h 14m,00h40m
Kuching International Airport ( KCH / WBGG ),2021 Jul 25,10:35ÿMYT,MH3412,Mukahÿ(MKM/WBGK),DHC6,Malaysia Airlines,EST. DEPART IN 2h 49m,01h05m
LTS Pulau Redang Airport ( RDN / WMPR ),2021 Jul 26,12:10ÿMYT,J8100,Subangÿ(SZB/WMSA),AT43,Berjaya Air,SCHEDULED IN 1d 4h,01h10m
LTS Pulau Redang Airport ( RDN / WMPR ),2021 Jul 25,12:10ÿMYT,J8100,Subangÿ(SZB/WMSA),AT43,Berjaya Air,SCHEDULED IN 4h 16m,01h10m
LTS Pulau Redang Airport ( RDN / WMPR ),2021 Jul 24,12:10ÿMYT,J8100,Subangÿ(SZB/WMSA),AT43,Berjaya Air,SCHEDULED 19h 43m AGO,01h10m
LTS Pulau Redang Airport ( RDN / WMPR ),2021 Jul 23,12:10ÿMYT,J8100,Subangÿ(SZB/WMSA),AT43,Berjaya Air,SCHEDULED 1d 19h AGO,01h10m
LTS Pulau Redang Airport ( RDN / WMPR ),2021 Jul 22,12:10ÿMYT,J8100,Subangÿ(SZB/WMSA),AT43,Berjaya Air,SCHEDULED 2d 19h AGO,01h10m
LTS Pulau Redang Airport ( RDN / WMPR ),2021 Jul 20,12:10ÿMYT,J8100,Subangÿ(SZB/WMSA),AT43,Berjaya Air,SCHEDULED 4d 19h AGO,01h10m
LTS Pulau Redang Airport ( RDN / WMPR ),2021 Jul 19,12:10ÿMYT,J8100,Subangÿ(SZB/WMSA),AT43,Berjaya Air,SCHEDULED 5d 19h AGO,01h10m
LTS Pulau Redang Airport ( RDN / WMPR ),2021 Jul 18,12:10ÿMYT,J8100,Subangÿ(SZB/WMSA),AT43,Berjaya Air,SCHEDULED 6d 19h AGO,01h10m
Labuan Airport ( LBU / WBKL ),2021 Jul 26,10:35ÿMYT,MH3045,Kota Kinabaluÿ(BKI/WBKK),AT72,Malaysia Airlines,SCHEDULED IN 1d 3h,00h35m
Labuan Airport ( LBU / WBKL ),2021 Jul 25,11:00ÿMYT,MH2608,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,EST. DEPART IN 1h 51m,02h34m
Labuan Airport ( LBU / WBKL ),2021 Jul 25,10:35ÿMYT,MH3045,Kota Kinabaluÿ(BKI/WBKK),AT72,Malaysia Airlines,EST. DEPART IN 3h 16m,00h35m
Labuan Airport ( LBU / WBKL ),2021 Jul 22,17:45ÿMYT,TH326,Subangÿ(SZB/WMSA),B752,Raya Airways,SCHEDULED 2d 15h AGO,02h30m
Labuan Airport ( LBU / WBKL ),2021 Jul 20,17:45ÿMYT,TH326,Subangÿ(SZB/WMSA),B752,Raya Airways,SCHEDULED 4d 15h AGO,02h30m
Labuan Airport ( LBU / WBKL ),2021 Jul 19,18:05ÿMYT,MH3047,Kota Kinabaluÿ(BKI/WBKK),AT72,Malaysia Airlines,CANCELLED,00h35m
Labuan Airport ( LBU / WBKL ),2021 Jul 19,17:35ÿMYT,MH3228,Miriÿ(MYY/WBGR),AT72,Malaysia Airlines,CANCELLED,00h40m
Labuan Airport ( LBU / WBKL ),2021 Jul 19,14:10ÿMYT,MH3226,Miriÿ(MYY/WBGR),AT72,Malaysia Airlines,CANCELLED,00h40m
Labuan Airport ( LBU / WBKL ),2021 Jul 19,09:50ÿMYT,MH3222,Miriÿ(MYY/WBGR),AT72,Malaysia Airlines,CANCELLED,00h40m
Labuan Airport ( LBU / WBKL ),2021 Jul 19,07:35ÿMYT,MH3041,Kota Kinabaluÿ(BKI/WBKK),AT72,Malaysia Airlines,CANCELLED,00h35m
Lahad Datu Airport ( LDU / WBKD ),2021 Jul 26,15:55ÿMYT,MH3018,Kota Kinabaluÿ(BKI/WBKK),AT72,Malaysia Airlines,SCHEDULED IN 1d 8h,00h55m
Lahad Datu Airport ( LDU / WBKD ),2021 Jul 26,10:05ÿMYT,MH3014,Kota Kinabaluÿ(BKI/WBKK),AT72,Malaysia Airlines,SCHEDULED IN 1d 2h,00h55m
Lahad Datu Airport ( LDU / WBKD ),2021 Jul 25,15:55ÿMYT,MH3018,Kota Kinabaluÿ(BKI/WBKK),AT72,Malaysia Airlines,EST. DEPART IN 8h 16m,00h55m
Lahad Datu Airport ( LDU / WBKD ),2021 Jul 25,12:15ÿMYT,MH3155,Sandakanÿ(SDK/WBKS),AT72,Malaysia Airlines,EST. DEPART IN 4h 56m,00h41m
Lahad Datu Airport ( LDU / WBKD ),2021 Jul 25,08:05ÿMYT,MH3012,Kota Kinabaluÿ(BKI/WBKK),AT72,Malaysia Airlines,EST. DEPART IN 26m,01h10m
Langkawi International Airport ( LGK / WMKL ),2021 Jul 26,16:20ÿMYT,MH1446,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,SCHEDULED IN 1d 8h,01h05m
