AIRPORTS,DATE,TIME,FLIGHT,ORIGIN,AIRCRAFT,AIRLINE/OPERATOR,STATUS,DURATION
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 25,17:25ÿMYT,OD1806,Subangÿ(SZB/WMSA),AT76ÿ(9M-LMH),Malindo Air,SCHEDULED IN 9h 16m,01h05m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 25,17:00ÿMYT,MH1336,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,CANCELLED,01h00m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 25,13:40ÿMYT,FY1258,Subangÿ(SZB/WMSA),AT72,Flyfirefly,SCHEDULED IN 5h 36m,01h00m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 24,17:00ÿMYT,MH1336,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,CANCELLED,01h00m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 24,13:40ÿMYT,FY1258,Subangÿ(SZB/WMSA),AT72,Flyfirefly,SCHEDULED 18h 23m AGO,01h00m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 23,17:00ÿMYT,MH1336,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,CANCELLED,01h00m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 23,13:40ÿMYT,FY1258,Subangÿ(SZB/WMSA),AT72,Flyfirefly,SCHEDULED 1d 18h AGO,01h00m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 22,13:40ÿMYT,FY1258,Subangÿ(SZB/WMSA),AT72,Flyfirefly,SCHEDULED 2d 18h AGO,01h00m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 21,16:10ÿMYT,OD1812,Subangÿ(SZB/WMSA),AT76ÿ(9M-LMO),Malindo Air,CANCELLED,01h05m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 21,13:40ÿMYT,FY1258,Subangÿ(SZB/WMSA),AT72,Flyfirefly,SCHEDULED 3d 18h AGO,01h00m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 21,11:45ÿMYT,OD1804,Subangÿ(SZB/WMSA),AT76,Malindo Air,SCHEDULED 3d 20h AGO,01h05m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 20,16:10ÿMYT,OD1812,Subangÿ(SZB/WMSA),AT76ÿ(9M-LMH),Malindo Air,CANCELLED,01h05m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 20,13:40ÿMYT,FY1258,Subangÿ(SZB/WMSA),AT72,Flyfirefly,SCHEDULED 4d 18h AGO,01h00m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 20,11:45ÿMYT,OD1804,Subangÿ(SZB/WMSA),AT76,Malindo Air,SCHEDULED 4d 20h AGO,01h05m
Sultan Mahmud Airport ( TGG / WMKN ),2021 Jul 19,13:40ÿMYT,FY1258,Subangÿ(SZB/WMSA),AT72,Flyfirefly,SCHEDULED 5d 18h AGO,01h00m
Tanjung Manis Airport ( TGC / WBGT ),2021 Jul 26,14:25ÿMYT,MH3711,Kuchingÿ(KCH/WBGG),DHC6,Malaysia Airlines,SCHEDULED IN 1d 6h,00h40m
Tanjung Manis Airport ( TGC / WBGT ),2021 Jul 25,10:35ÿMYT,MH3711,Kuchingÿ(KCH/WBGG),DHC6,Malaysia Airlines,EST. DEPART IN 2h 49m,00h40m
Tawau Airport ( TWU / WBKW ),2021 Jul 26,11:25ÿMYT,AK6268,Kota Kinabaluÿ(BKI/WBKK),-,AirAsia,SCHEDULED IN 1d 3h,00h55m
Tawau Airport ( TWU / WBKW ),2021 Jul 25,16:10ÿMYT,AK5748,Kuala Lumpurÿ(KUL/WMKK),-,AirAsia,EST. DEPART IN 6h 9m,02h55m
Tawau Airport ( TWU / WBKW ),2021 Jul 25,10:10ÿMYT,MH2660,Kuala Lumpurÿ(KUL/WMKK),B738,Malaysia Airlines,EST. DEPART IN 9m,03h07m
Tawau Airport ( TWU / WBKW ),2021 Jul 25,10:10ÿMYT,MH3061,Sandakanÿ(SDK/WBKS),AT72,Malaysia Airlines,EST. DEPART IN 2h 24m,00h51m
Tawau Airport ( TWU / WBKW ),2021 Jul 23,15:55ÿMYT,MH2137,Kota Kinabaluÿ(BKI/WBKK),B738,Malaysia Airlines,CANCELLED,00h50m
